type,Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,CLUSTER,Question Day,pmg_id,member_id,department,member_match
written,62,NW67E,Ms M L Dunjwa,ANC,"Planning, Monitoring and Evaluation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-20,Timeous,A,,,,35861,2002,"Planning, Monitoring and Evaluation",pmg_code
written,63,NW68E,Ms T M Chauke-Adonis,ANC,"Women, Youth and Persons with Disabilities","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-18,Late,A,,,,35862,2002,"Women, Youth and Persons with Disabilities",pmg_code
written,64,NW69E,Ms T M Chauke-Adonis,ANC,"Women, Youth and Persons with Disabilities","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-07,Late,A,,,,35844,2008,"Women, Youth and Persons with Disabilities",pmg_code
written,65,NW70E,Ms. F L Shabangu,ANC,"Women, Youth and Persons with Disabilities","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-18,Late,A,,,,35845,2024,"Women, Youth and Persons with Disabilities",pmg_code
written,66,NW71E,Mr W T Letsie,ANC,Higher Education,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-29,Late,A,,,,35959,185,Higher Education,pmg_code
written,67,NW72E,Ms J Q Khumalo,ANC,Health,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35960,185,Health,pmg_code
written,68,NW73E,Ms J Q Khumalo,ANC,Health,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35915,1985,Health,pmg_code
written,69,NW74E,Mr G D Kgabo,ANC,"Sports, Arts and Culture","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-25,Timeous,A,,,,35916,1424,"Sports, Arts and Culture",pmg_code
written,70,NW75E,Mr S T D Louw,ANC,"Sports, Arts and Culture","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-25,Timeous,A,,,,35917,1424,"Sports, Arts and Culture",pmg_code
written,71,NW76E,Ms P P Xaba-Ntshaba,ANC,Basic Education,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-03,Late,A,,,,35918,1424,Basic Education,pmg_code
written,72,NW77E,Ms P P Xaba-Ntshaba,ANC,Basic Education,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-03,Late,A,,,,36089,2008,Basic Education,pmg_code
written,73,NW79E,Mr K S Ramaila,ANC,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35919,2004,Social Development,pmg_code
written,74,NW80E,Mr T B Munyai,ANC,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35846,2004,Social Development,pmg_code
written,75,NW81E,Mr T B Munyai,ANC,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36083,2178,Social Development,pmg_code
written,76,NW82E,Mr T B Munyai,ANC,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36084,2178,Social Development,pmg_code
written,77,NW85E,Mr G D Kgabo,ANC,Home Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-11,Late,A,,,,35822,2059,Home Affairs,pmg_code
written,78,NW86E,Mr S T D Louw,ANC,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-10,Late,A,,,,,2024,Agriculture,member_name
written,79,NW87E,Ms B M Kegakilwe,ANC,Human Settlements,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,,2004,Human Settlements,member_name
written,80,NW88E,Ms B M Kegakilwe,ANC,Water and Sanitation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-25,Timeous,A,,,,35875,1938,Water and Sanitation,pmg_code
written,81,NW89E,Mr R A P Trollip,ActionSA,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-10,Late,A,,,,35876,1938,Agriculture,pmg_code
written,82,NW90E,Mr R A P Trollip,ActionSA,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-10,Late,A,,,,36251,712,Agriculture,pmg_code
written,83,NW91E,Mr R A P Trollip,ActionSA,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-05-07,Late,A,,,,36505,712,Agriculture,pmg_code
written,84,NW92E,Ms L M Ngobeni,ActionSA,International Relations and Cooperation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-20,Late,A,,,,36085,1268,International Relations and Cooperation,pmg_code
written,85,NW93E,Ms L M Ngobeni,ActionSA,Land Reform and Rural Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-23,Timeous,A,,,,35920,1268,Land Reform and Rural Development,pmg_code
written,86,NW94E,Ms L M Ngobeni,ActionSA,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",,Late,U,,,,36862,829,Agriculture,pmg_code
written,87,NW95E,Dr T K S Letlape,ActionSA,Minister in The Presidency,"Thursday, February 12, 2026","Thursday, February 26, 2026",,Late,U,,,,36863,829,Minister in The Presidency,pmg_code
written,88,NW96E,Dr T K S Letlape,ActionSA,Health,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,37008,829,Health,pmg_code
written,89,NW97E,Dr T K S Letlape,ActionSA,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,36065,2032,Cooperative Governance and Traditional Affairs,pmg_code
written,90,NW98E,Ms B S Masango,DA,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-16,Late,A,,,,35961,2032,Social Development,pmg_code
written,91,NW99E,Ms B S Masango,DA,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-23,Late,A,,,,35836,2003,Social Development,pmg_code
written,92,NW100E,Ms H Ismail,DA,Tourism,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-10,Late,A,,,,35837,2003,Tourism,pmg_code
written,93,NW101E,Ms H Ismail,DA,Tourism,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36888,2003,Tourism,pmg_code
written,94,NW102E,Mr C Hattingh,DA,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-09,Late,A,,,,37445,2061,Defence and Military Veterans,pmg_code
written,95,NW103E,Mr C Hattingh,DA,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-09,Late,A,,,,35847,2061,Defence and Military Veterans,pmg_code
written,96,NW104E,Mr C Hattingh,DA,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-13,Late,A,,,,35848,2061,Defence and Military Veterans,pmg_code_name
written,97,NW106E,Mr R Smith,DA,International Relations and Cooperation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-09,Late,A,,,,36239,441,International Relations and Cooperation,pmg_code
written,98,NW107E,Mr R Smith,DA,International Relations and Cooperation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-03,Late,A,,,,36437,441,International Relations and Cooperation,pmg_code
written,99,NW108E,Mr D D Klopper,DA,Justice and Constitutional Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-24,Timeous,A,,,,35953,517,Justice and Constitutional Development,pmg_code
written,100,NW109E,Mr D D Klopper,DA,Justice and Constitutional Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-24,Timeous,A,,,,35877,517,Justice and Constitutional Development,pmg_code
written,101,NW110E,Mr D D Klopper,DA,Justice and Constitutional Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-10,Late,A,,,,37327,517,Justice and Constitutional Development,pmg_code
written,102,NW111E,Ms L R Potgieter,DA,"Sports, Arts and Culture","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-30,Late,A,,,,35878,1077,"Sports, Arts and Culture",pmg_code
written,103,NW112E,Ms L R Potgieter,DA,"Sports, Arts and Culture","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-25,Timeous,A,,,,35879,1077,"Sports, Arts and Culture",pmg_code
written,104,NW113E,Ms L R Potgieter,DA,"Sports, Arts and Culture","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-25,Timeous,A,,,,35956,1077,"Sports, Arts and Culture",pmg_code
written,105,NW114E,Mr K J Mileham,DA,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,35921,712,Electricity and Energy,pmg_code
written,106,NW115E,Mr K J Mileham,DA,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,35880,1429,Electricity and Energy,pmg_code
written,107,NW116E,Mr K J Mileham,DA,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-20,Late,A,,,,35881,1429,Electricity and Energy,pmg_code
written,108,NW117E,Dr C H H Hunsinger,DA,Transport,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36000,1429,Transport,pmg_code
written,109,NW118E,Dr C H H Hunsinger,DA,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35928,1268,Cooperative Governance and Traditional Affairs,pmg_code
written,110,NW119E,Dr C H H Hunsinger,DA,Water and Sanitation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-24,Late,A,,,,36066,1839,Water and Sanitation,pmg_code
written,111,NW120E,Mrs M O Clarke,DA,Health,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35849,1839,Health,pmg_code
written,112,NW121E,Mrs M O Clarke,DA,Health,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,36067,1839,Health,pmg_code
written,113,NW122E,Mrs M O Clarke,DA,Finance,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-02,Late,A,,,,35983,1304,Finance,pmg_code
written,114,NW123E,Ms B S Masango,DA,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35882,1304,Social Development,pmg_code
written,115,NW124E,Mr M A Nhanha,DA,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35930,1304,Cooperative Governance and Traditional Affairs,pmg_code
written,116,NW125E,Mr M A Nhanha,DA,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,36839,2087,Cooperative Governance and Traditional Affairs,pmg_code
written,117,NW126E,Mr M A Nhanha,DA,Land Reform and Rural Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-05,Late,A,,,,36300,2087,Land Reform and Rural Development,pmg_code
written,118,NW127E,Ms H Ismail,DA,Tourism,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35931,2082,Tourism,pmg_code
written,119,NW128E,Mr S J Moore,DA,Water and Sanitation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-09,Late,A,,,,35898,2134,Water and Sanitation,pmg_code
written,120,NW129E,Mr S J Moore,DA,Water and Sanitation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-25,Timeous,A,,,,35883,2134,Water and Sanitation,pmg_code
written,121,NW130E,Mr S J Moore,DA,Water and Sanitation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-09,Late,A,,,,36563,2356,Water and Sanitation,pmg_code
written,122,NW131E,Mr L Mphithi,DA,Human Settlements,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36838,2356,Human Settlements,pmg_code
written,123,NW132E,Mr L Mphithi,DA,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35831,2358,Cooperative Governance and Traditional Affairs,pmg_code
written,124,NW133E,Mr L Mphithi,DA,Human Settlements,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35850,2358,Human Settlements,pmg_code
written,125,NW134E,Ms G Mchunu,MK,"Women, Youth and Persons with Disabilities","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-07,Late,A,,,,36190,482,"Women, Youth and Persons with Disabilities",pmg_code
written,126,NW135E,Ms G Mchunu,MK,"Women, Youth and Persons with Disabilities","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-18,Late,A,,,,35864,482,"Women, Youth and Persons with Disabilities",pmg_code
written,127,NW136E,Ms M C Mafagane,MK,Tourism,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35865,482,Tourism,pmg_code
written,128,NW137E,Mr G Taaibosch,MK,"Forestry, Fisheries and the Environment","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,36240,2131,"Forestry, Fisheries and the Environment",pmg_code
written,129,NW138E,Mr G Taaibosch,MK,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35832,2075,Cooperative Governance and Traditional Affairs,pmg_code
written,130,NW139E,Mr Z K A Cele,MK,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-27,Late,A,,,,35838,2075,Defence and Military Veterans,pmg_code
written,131,NW140E,Mr Z K A Cele,MK,"Women, Youth and Persons with Disabilities","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-07,Late,A,,,,35820,2075,"Women, Youth and Persons with Disabilities",pmg_code
written,132,NW141E,Mr G Motaung,MK,Correctional Services,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-23,Timeous,A,,,,36086,2099,Correctional Services,pmg_code
written,133,NW142E,Mr G Motaung,MK,"Sports, Arts and Culture","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-25,Timeous,A,,,,36001,2099,"Sports, Arts and Culture",pmg_code
written,134,NW143E,Mr M S Mbatha,MK,"Science, Technology and Innovation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-13,Late,A,,,,35884,2099,"Science, Technology and Innovation",pmg_code
written,135,NW144E,Mr M S Mbatha,MK,"Science, Technology and Innovation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35932,2359,"Science, Technology and Innovation",pmg_code
written,136,NW145E,Mr M S Mbatha,MK,"Science, Technology and Innovation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,37367,2101,"Science, Technology and Innovation",pmg_code
written,137,NW146E,Mr T T S Kubheka,MK,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,36734,2101,Electricity and Energy,pmg_code
written,138,NW149E,Mr M M Gasa,MK,Correctional Services,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-23,Timeous,A,,,,35941,2135,Correctional Services,pmg_code
written,139,NW150E,Mr M M Gasa,MK,Correctional Services,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-24,Timeous,A,,,,,2075,Correctional Services,member_name
written,140,NW151E,Mr M M Gasa,MK,Correctional Services,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-19,Timeous,A,,,,36574,818,Correctional Services,pmg_code
written,141,NW152E,Mr Z E Mthethwa,MK,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-10,Late,A,,,,35908,817,Agriculture,pmg_code
written,142,NW153E,Mr Z E Mthethwa,MK,Land Reform and Rural Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-05,Timeous,A,,,,35909,817,Land Reform and Rural Development,pmg_code
