type,Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,CLUSTER,Question Day,pmg_id,member_id,department,member_match
written,1,NW1E,Dr L W Mahlatsi,UAT,Social Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35926,2001,Social Development,pmg_code
written,2,NW2E,Dr L W Mahlatsi,UAT,Home Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-28,Late,A,,,,37364,2001,Home Affairs,pmg_code
written,3,NW3E,Mr A Sauls,PA,"Forestry, Fisheries and the Environment","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35853,1989,"Forestry, Fisheries and the Environment",pmg_code
written,4,NW4E,Dr L W Mahlatsi,UAT,President of the Republic,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35922,2001,President of the Republic,pmg_code
written,5,NW8E,Ms S W Davids,ANC,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-10,Late,A,,,,35855,2002,Agriculture,pmg_code
written,6,NW9E,Dr N P Nkabane,ANC,Agriculture,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-10,Late,A,,,,35856,2012,Agriculture,pmg_code
written,7,NW10E,Ms N Gantsho,ANC,"Forestry, Fisheries and the Environment","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35923,2058,"Forestry, Fisheries and the Environment",pmg_code
written,8,NW11E,Ms J Q Khumalo,ANC,"Forestry, Fisheries and the Environment","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35924,1942,"Forestry, Fisheries and the Environment",pmg_code
written,9,NW12E,Ms N Makasi,ANC,"Forestry, Fisheries and the Environment","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35903,2244,"Forestry, Fisheries and the Environment",pmg_code
written,10,NW13E,Mr S M Maeco,ANC,Tourism,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35902,1930,Tourism,pmg_code
written,11,NW14E,Ms R S Nalumango,ANC,Tourism,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35901,2022,Tourism,pmg_code
written,12,NW15E,Ms L E Ligaraba,ANC,Tourism,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35900,1930,Tourism,pmg_code
written,13,NW16E,Mr S I Subrathie,ANC,Communications and Digital Technologies,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36130,599,Communications and Digital Technologies,pmg_code
written,14,NW17E,Ms K L N Sangoni,ANC,Communications and Digital Technologies,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36131,2010,Communications and Digital Technologies,pmg_code
written,15,NW18E,Mr S I Subrathie,ANC,Communications and Digital Technologies,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35874,2324,Communications and Digital Technologies,pmg_code
written,16,NW19E,Mr M C Masina,ANC,"Trade, Industry and Competition","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-12,Late,A,,,,35863,2087,"Trade, Industry and Competition",pmg_code
written,17,NW20E,Ms S Mosikatsi,ANC,"Trade, Industry and Competition","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-12,Late,A,,,,35906,2063,"Trade, Industry and Competition",pmg_code
written,18,NW21E,Mr V A Nkosi,ANC,"Science, Technology and Innovation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35982,2341,"Science, Technology and Innovation",pmg_code
written,19,NW23E,Ms T V B Mchunu,ANC,"Science, Technology and Innovation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,36242,2324,"Science, Technology and Innovation",pmg_code
written,20,NW24E,Ms N A Gcaleka-Mazibuko,ANC,Finance,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,,2063,Finance,member_name
written,21,NW25E,Mr M Segede,ANC,Finance,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-04,Late,A,,,,35830,2058,Finance,pmg_code
written,22,NW26E,Ms F Hassan,ANC,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,35824,1400,Electricity and Energy,pmg_code
written,23,NW27E,Mr V A Nkosi,ANC,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,35825,966,Electricity and Energy,pmg_code
written,24,NW28E,Ms N S Sompa-Masiu,ANC,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,35899,1775,Electricity and Energy,pmg_code
written,25,NW29E,Mr S M Maeco,ANC,Employment and Labour,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-20,Timeous,A,,,,35954,966,Employment and Labour,pmg_code
written,26,NW30E,Mr M Nontsele,ANC,Employment and Labour,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-20,Timeous,A,,,,,1400,Employment and Labour,member_name
written,27,NW31E,Ms N S Nkopane,ANC,Employment and Labour,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-20,Timeous,A,,,,35857,1361,Employment and Labour,pmg_code
written,28,NW32E,Mr C N Malematja,ANC,Transport,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,37317,278,Transport,pmg_code
written,29,NW33E,Ms N S Nkopane,ANC,Transport,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36423,1775,Transport,pmg_code_name
written,30,NW34E,Ms N E Nkosi,ANC,Transport,"Thursday, February 12, 2026","Thursday, February 26, 2026",WITHDRAWN,W,W,Department informed that the question is not within its mandate - party agreed to Withdraw.,,,35925,1321,Transport,pmg_code
written,31,NW35E,Ms C M Phiri,ANC,Transport,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35914,2040,Transport,pmg_code
written,32,NW36E,Ms M C Dikgale,ANC,Small Business Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-24,Late,A,,,,35907,810,Small Business Development,pmg_code
written,33,NW37E,Mr C N Malematja,ANC,Small Business Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-09,Late,A,,,,36297,1160,Small Business Development,pmg_code
written,34,NW38E,Mr M G Mahlaule,ANC,Mineral and Petroleum Resources,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,35821,868,Mineral and Petroleum Resources,pmg_code
written,35,NW39E,Ms M L Mofokeng,ANC,Mineral and Petroleum Resources,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36132,957,Mineral and Petroleum Resources,pmg_code
written,36,NW40E,Dr M J Maswanganyi,ANC,Finance,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,36561,2026,Finance,pmg_code
written,37,NW41E,Mr S C Sekoati,ANC,Finance,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-18,Late,A,,,,36236,2028,Finance,pmg_code
written,38,NW42E,Ms R C Adams,ANC,Land Reform and Rural Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-23,Timeous,A,,,,37049,2013,Land Reform and Rural Development,pmg_code
written,39,NW43E,Mr M Mrara,ANC,Land Reform and Rural Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-12,Late,A,,,,36562,2005,Land Reform and Rural Development,pmg_code
written,40,NW44E,Ms T Sokanyile,ANC,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-27,Late,A,,,,35957,2031,Defence and Military Veterans,pmg_code
written,41,NW45E,Mr M M Hala,ANC,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,35958,1326,Defence and Military Veterans,pmg_code
written,42,NW46E,Mr W T D Plaatjies,ANC,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-13,Late,A,,,,36886,2044,Defence and Military Veterans,pmg_code
written,43,NW47E,Mr M D Legoete,ANC,Defence and Military Veterans,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-27,Late,A,,,,36887,1276,Defence and Military Veterans,pmg_code
written,44,NW48E,Ms A N Kumbaca,ANC,International Relations and Cooperation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-03,Late,A,,,,36988,1344,International Relations and Cooperation,pmg_code
written,45,NW49E,Mr S O R Mahumapelo,ANC,International Relations and Cooperation,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-03,Late,A,,,,36733,1396,International Relations and Cooperation,pmg_code
written,46,NW50E,Mr N T Tshotetsi,ANC,Justice and Constitutional Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-10,Late,A,,,,37365,1338,Justice and Constitutional Development,pmg_code
written,47,NW51E,Ms N E Motaung,ANC,Justice and Constitutional Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-10,Late,A,,,,37366,1338,Justice and Constitutional Development,pmg_code
written,48,NW52E,Mr O M Mathafa,ANC,Justice and Constitutional Development,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-14,Late,A,,,,36237,1983,Justice and Constitutional Development,pmg_code
written,49,NW53E,Ms M Modise-Mpya,ANC,Home Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-02,Late,A,,,,36133,1983,Home Affairs,pmg_code
written,50,NW54E,Mr M S Chabane,ANC,Home Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-28,Late,A,,,,35858,2065,Home Affairs,pmg_code
written,51,NW55E,Mr M S Chabane,ANC,Home Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-04-28,Late,A,,,,35939,2163,Home Affairs,pmg_code
written,52,NW56E,Mr M S Moela,ANC,Electricity and Energy,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-17,Late,A,,,,35859,1374,Electricity and Energy,pmg_code
written,53,NW57E,Mr M S Moela,ANC,Police,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-12,Late,A,,,,35860,961,Police,pmg_code
written,54,NW58E,Ms I M Mbiyo,ANC,Transport,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,36063,185,Transport,pmg_code
written,55,NW59E,Mr E A Cloete,ANC,Police,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-27,Late,A,,,,36064,982,Police,pmg_code
written,56,NW60E,Ms D R Direko,ANC,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35826,1127,Cooperative Governance and Traditional Affairs,pmg_code
written,57,NW62E,Mr P Ndamase,ANC,Cooperative Governance and Traditional Affairs,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-26,Timeous,A,,,,35828,313,Cooperative Governance and Traditional Affairs,pmg_code
written,58,NW63E,Ms P P Xaba-Ntshaba,ANC,Public Service and Administration,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-09,Late,A,,,,36298,1935,Public Service and Administration,pmg_code
written,59,NW64E,Ms W Tikana-Gxotiwe,ANC,Public Service and Administration,"Thursday, February 12, 2026","Thursday, February 26, 2026",2026-03-09,Late,A,,,,36836,1935,Public Service and Administration,pmg_code
written,60,NW65E,Ms M J Aphiri,ANC,"Planning, Monitoring and Evaluation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-20,Timeous,A,,,,36299,1998,"Planning, Monitoring and Evaluation",pmg_code
written,61,NW66E,Ms T Mgweba,ANC,"Planning, Monitoring and Evaluation","Thursday, February 12, 2026","Thursday, February 26, 2026",2026-02-20,Timeous,A,,,,37403,1296,"Planning, Monitoring and Evaluation",pmg_code
