Code,PMG,Register,Scrape
NO576,1,0,1
NO583,1,0,1
NO598,1,0,1
NO604,1,0,1
NO608,1,0,1
NO616,1,0,0
NO617,1,0,0
NO618,1,0,0
NO620,1,0,0
NO621,1,0,0
NO645,1,0,0
NO66,1,0,0
NO668(12),1,0,1
NO670(23),1,0,0
NO672(1034),1,0,0
NO7,0,0,1
NO735,1,0,0
NO739,1,0,0
NO741,1,0,0
NO749,1,0,0
NO753,1,0,0
NO768,1,0,0
NO770,1,0,0
NO771,1,0,0
NO788,1,0,0
NO799,1,0,0
NO80,1,0,1
NO809,1,0,0
NO817,1,0,0
NO823,1,0,0
NO833,1,0,0
NO834,1,0,0
NO84,1,0,1
NO844,1,0,0
NO845,1,0,0
NO85(141),1,0,1
NO86(142),1,0,1
NO87(143),1,0,1
NO88144,1,0,0
NO884,1,0,0
NO887,1,0,0
NO890,1,0,0
NO89145,1,0,0
NO893,1,0,0
NO898,1,0,0
NO900,1,0,0
NO901,1,0,0
NO90146,1,0,0
NO905,1,0,0
NO906,1,0,0
NO91(166),0,0,1
NO91166,1,0,0
NO92(171),0,0,1
NO92171,1,0,0
NO924,1,0,0
NO929,1,0,0
NO93(187),0,0,1
NO93187,1,0,0
NO932,1,0,0
NO938,1,0,0
NO939,1,0,0
NO94(193),1,0,0
NO946,1,0,0
NO95(208),1,0,1
NO952,1,0,0
NO96(214),0,0,1
NO96)214),1,0,0
NO962,1,0,0
NO968,1,0,0
NO985,1,0,0
NO99,1,0,0
NW04,1,0,1
NW05,1,0,1
NW1,1,1,0
NW10,1,1,1
NW100,1,1,0
NW1000,1,1,0
NW1001,1,1,0
NW1002,0,1,0
NW1003,1,1,0
NW1004,1,1,0
NW1005,1,1,1
NW1006,1,1,1
NW1007,1,1,0
NW1008,1,1,0
NW1009,1,1,0
NW101,1,1,1
NW1010,1,1,0
NW1011,1,1,0
NW1012,1,1,0
NW1013,1,1,0
NW1014,1,1,0
NW1015,1,1,1
NW1016,1,1,0
NW1017,1,1,0
NW1018,1,1,1
NW1019,1,1,1
NW102,1,1,1
NW1020,1,1,0
NW1021,1,1,1
NW1022,0,1,1
NW1023,1,1,0
NW1024,1,1,0
NW1025,1,1,0
NW1026,1,1,0
NW1027,1,1,0
NW1028,1,1,1
NW1029,0,1,0
NW103,1,1,1
NW1030,1,1,1
NW1031,1,1,0
NW1032,1,1,0
NW1033,1,1,0
NW1034,0,1,0
NW1035,1,1,1
NW1036,1,1,1
NW1037,1,1,0
NW1038,1,1,0
NW1039,1,1,0
NW104,1,1,1
NW1040,1,1,0
NW1041,1,0,0
NW1042,1,0,0
NW1043,1,0,1
NW1044,1,1,0
NW1045,1,1,0
NW1046,1,1,0
NW1047,1,1,0
NW1048,1,1,1
NW1049,1,0,1
NW105,1,1,1
NW1050,1,0,1
NW1051,1,1,0
NW1052,1,1,0
NW1053,1,1,1
NW1054,1,1,0
NW1055,1,1,0
NW1056,1,1,1
NW1057,1,1,1
NW1058,1,1,0
NW1059,1,1,0
NW106,1,1,1
NW1060,1,1,0
NW1061,1,1,0
NW1062,1,1,0
NW1063,1,1,0
NW1064,1,1,1
NW1065,1,1,0
NW1066,1,1,1
NW1067,1,1,0
NW1068,1,1,0
NW1069,1,1,0
NW107,1,1,0
NW1070,1,1,0
NW1071,1,1,0
NW1072,1,1,1
NW1073,1,1,0
NW1074,1,1,0
