id,member,surname,title,gender,initial,profile_pic,party_id
163,"Van Rooyen, Mr DD",Van Rooyen,Mr,male,DD,van_rooyen.jpg,19
248,"Chikunga, Ms LS",Chikunga,Ms,female,LS,chikuinga.jpg,1
1774,"Marais, Ms P",Marais,Ms,female,P,1/Marais_P.jpg,11
239,"Koornhof, Dr GW",Koornhof,Dr,male,GW,Koornhof.jpg,1
2020,"Burke, Dr MJ",Burke,Dr,male,MJ,Burke.jpg,2
386,"Mulder, Dr CP",Mulder,Dr,male,CP,Mulder.jpg,8
1715,"Maotwe, Ms OMC",Maotwe,Ms,female,OMC,2460.jpg,11
599,"Masina, Mr MC",Masina,Mr,male,MC,Masina.jpg,1
1411,"Gondwe, Dr M",Gondwe,Dr,female,M,Gondwe.jpg,2
1084,"Gana, Mr M",Gana,Mr,male,M,gana_sm.jpg,22
2021,"Maduna, Mr N",Maduna,Mr,male,N,N_Maduna.JPG,1
262,"Makhubela, Ms LS",Makhubela,Ms,female,LS,makhubela...2.jpg,1
238,"Kohler, Ms D",Kohler,Ms,female,D,Kohler_D.jpg,2
362,"Ndabeni-Abrahams, Ms ST",Ndabeni-Abrahams,Ms,female,ST,ndabeni.jpg,1
1424,"Munyai, Mr TB",Munyai,Mr,male,TB,munyai.jpg,1
1776,"Zondo, Mr  S S",Zondo,Mr,male,SS,Zondo_S.jpg,4
336,"Mncwango, Mr MA",Mncwango,Mr,male,MA,mncwango.jpg,4
274,"Manamela, Mr KB",Manamela,Mr,male,KB,Manamela.jpg,1
1265,"Hlongo, Ms AS",Hlongo,Ms,female,AS,Hlongo.jpg,1
1266,"Majozi, Ms Z",Majozi,Ms,female,Z,ms_zandile_majozi.jpg,4
368,"Motshekga, Ms MA",Motshekga,Ms,female,MA,Motshekga_MA.jpg,1
1777,"Hadebe, Mr N",Hadebe,Mr,male,N,hadebbe.jpg,4
711,"Mathys, Ms L",Mathys,Ms,female,L,MATHY.jpg,11
419,"Nzimande, Dr BE",Nzimande,Dr,male,BE,nzimande.jpg,1
278,"Dikgale, Ms MC",Dikgale,Ms,female,MC,Dikgale.jpg,1
118,"Hlengwa, Mr M",Hlengwa,Mr,male,M,Hlengwa.jpg,4
29,"Frolick, Mr CT",Frolick,Mr,male,CT,Frolick.jpg,1
2120,"Reddy, Mr VG",Reddy,Mr,male,VG,reddy.jpg,19
441,"Mileham, Mr K",Mileham,Mr,male,K,Mileham.jpg,2
1443,"Aucamp, Mr W",Aucamp,Mr,male,W,aucamp.jpg,2
454,"Kwankwa, Mr NL",Kwankwa,Mr,male,NL,Kwankwa.jpg,6
475,"Bilankulu, Ms NK",Bilankulu,Ms,female,NK,Bilankulu.jpg,1
465,"Bagraim, Mr M",Bagraim,Mr,male,M,bagraim.jpg,2
445,"Mathale, Mr C",Mathale,Mr,male,C,Mathale_C.jpg,1
1616,"Zikalala, Mr S",Zikalala,Mr,male,S,zikalala.jpg,1
2121,"Rweqana, Ms M",Rweqana,Ms,female,M,rweqana.jpg,19
473,"Bergman, Mr D",Bergman,Mr,male,D,Bergman.jpg,2
471,"Basson, Mr LJ",Basson,Mr,male,LJ,basson.jpg,2
797,"Dlamini, Mr MM",Dlamini,Mr,male,MM,marshall_dlamini.jpg,11
829,"Hattingh, Mr C",Hattingh,Mr,male,C,1/hattingh.jpg,2
1248,"Sithole, Ms RJ",Sithole,Ms,female,RJ,sithole.jpg,2
1366,"Van Staden, Mr PA",Van Staden,Mr,male,PA,Van_Staden_PA.jpg,8
52,"Gina, Ms N",Gina,Ms,female,N,Gina.jpg,1
1276,"Motaung, Ms NE",Motaung,Ms,female,NE,Motaung_NE.jpg,1
2122,"Selepe, Mr HD",Selepe,Mr,male,HD,selepe.jpg,19
740,"McGluwa, Mr JJ",McGluwa,Mr,male,JJ,Mc_Gluwa.jpg,2
957,"Mrara, Mr M",Mrara,Mr,male,M,1/mrara.jpg,1
1344,"Mathafa, Mr OM",Mathafa,Mr,male,OM,Mathafa.jpg,1
658,"Mahambehlala, Ms T",Mahambehlala,Ms,female,T,1/Mahambehlala.jpg,1
1100,"Magagula, Ms TE",Magagula,Ms,female,TE,Magagula.jpg,1
1070,"Creecy, Ms B",Creecy,Ms,female,B,Creecy.jpg,1
2123,"Skosana, Mr DM",Skosana,Mr,male,DM,d_skosana.jpg,19
1143,"Moraka, Ms AT",Moraka,Ms,female,AT,moraka.jpg,1
1144,"Lekganyane, Mr MS",Lekganyane,Mr,male,MS,Lekganyane.jpg,1
1444,"Christians, Dr. DC",Christians,Dr.,female,DC,1/Christians.jpg,2
1363,"Powell, Ms EL",Powell,Ms,female,EL,1/311.jpg,2
1699,"Managa, Dr L",Managa,Dr,female,L,Managa.jpg,11
