id,member,surname,title,gender,initial,profile_pic,party_id
1935,"Chauke-Adonis, Ms TM",Chauke-Adonis,Ms,female,TM,TM_Chauke.jpg,1
1914,"Mc Kenzie, Mr G",Mc Kenzie,Mr,male,G,mckenzie.jpg,20
1937,"Beesley, Mr AD",Beesley,Mr,male,AD,Alan_Beesley.JPG,21
2044,"Tshotetsi, Mr NT",Tshotetsi,Mr,male,NT,Mr_Noble_Tshiamo_Tshotetsi.JPG,1
1936,"Kobe, Ms MP",Kobe,Ms,female,MP,Kobe.jpg,21
1982,"Pholwane, Ms MB",Pholwane,Ms,female,MB,Pholwane.jpg,1
2075,"Gasa, Mr MM",Gasa,Mr,male,MM,MM_Gasa.jpg,19
1939,"Godlimpi, Mr Z",Godlimpi,Mr,male,Z,zuko.JPG,1
2244,"Ligaraba, Ms LE",Ligaraba,Ms,female,LE,Ms_Livhuwani_Ethel_Ligaraba.JPG,1
1983,"Moela, Mr MS",Moela,Mr,male,MS,Moela.jpg,1
1915,"Rorke, Ms FS",Rorke,Ms,female,FS,rorke.JPG,20
51,"Gigaba, Mr M",Gigaba,Mr,male,M,Gigaba.jpg,1
2076,"Gasa, Ms NM",Gasa,Ms,female,NM,NM_Gasa.jpg,19
951,"Marawu, Ms TL",Marawu,Ms,female,TL,Marawu_TL.jpg,15
2229,"Salie, Adv S",Salie,Adv,female,S,SD_Salie.JPG,17
1943,"Ntuli, Mr M",Ntuli,Mr,male,M,2/ntuli.jpg,1
2046,"Mmolotsane, Ms ML",Mmolotsane,Ms,female,ML,mmolotsane.jpg,1
492,"Boshielo, Ms SP",Boshielo,Ms,female,SP,Boshielo.jpg,1
2077,"Abader, Ms ZS",Abader,Ms,female,ZS,Zelna_Abader.JPG,19
1944,"Maimela, Ms KJ",Maimela,Ms,female,KJ,Maimela.jpg,1
2081,"Madlala, Mr EK",Madlala,Mr,male,EK,Madlala.jpg,19
1985,"Ramaila, Mr KS",Ramaila,Mr,male,KS,Ramaila.jpg,1
2047,"Bath, Mr EM",Bath,Mr,male,EM,bath.jpg,2
2078,"Gcwabaza, Rev NB",Gcwabaza,Rev,male,NB,Gcwabaza.jpg,19
2163,"Cloete, Mr EA",Cloete,Mr,male,EA,Erald_Cloete.JPG,1
1945,"Neale-May, Ms HE",Neale-May,Ms,female,HE,may.jpg,1
2048,"Komane, Mr LM",Komane,Mr,male,LM,Komane.jpg,11
1989,"Sauls, Mr A",Sauls,Mr,male,A,1/sauls.jpg,20
2049,"Jordaan, Ms C",Jordaan,Ms,female,C,Jordaan.jpg,2
1134,"Masemola, Mr ND",Masemola,Mr,male,ND,Masemola.jpg,1
1988,"Ligraba, Ms LE",Ligraba,Ms,female,LE,Ligarabe.jpg,1
2085,"Matutu, Mr MJ",Matutu,Mr,male,MJ,Mandlenkosi_James_Matutu.JPG,19
390,"Muthambi, Ms AF",Muthambi,Ms,female,AF,muthambi.jpg,1
1423,"Hendricks, Mr MGE",Hendricks,Mr,male,MGE,Hendricks_MGE.jpg,17
2082,"Mafagane, Ms MC",Mafagane,Ms,female,MC,Mafagane.jpg,19
2050,"Nontenja, Ms TC",Nontenja,Ms,female,TC,Christobel_Thandiwe_Nontenja.JPG,6
1990,"Bila, Ms TJ",Bila,Ms,female,TJ,Bila_J.jpg,1
1946,"Govana, Ms Y",Govana,Ms,female,Y,Yanga_Govana.JPG,1
1948,"Mkutu, Mr L",Mkutu,Mr,male,L,Mkutu.jpg,1
2083,"Malinga, Mr JS",Malinga,Mr,male,JS,Malinga.jpg,19
1947,"Shiviti, Ms TG",Shiviti,Ms,female,TG,Tsakani_Goodness_Shiviti.JPG,1
2052,"Christie, Ms KA",Christie,Ms,female,KA,christie.jpg,2
2087,"Mchunu, Ms G",Mchunu,Ms,female,G,Mchunu_G.jpg,19
2086,"Mbele, Ms H",Mbele,Ms,female,H,Mbele.jpg,19
1177,"Diale, Ms B",Diale,Ms,female,B,1/Diale.jpg,11
1995,"Adams, Mr, F",Adams,Mr,male,F,adams.jpg,24
1994,"Mahlangu, Mr S",Mahlangu,Mr,male,S,Mahlangu.jpg,1
2098,"Motubatse, Mr MP",Motubatse,Mr,male,MP,motubatse.jpg,19
2058,"Maeco, Mr SM",Maeco,Mr,male,SM,Maeco.jpg,1
2002,"Khumalo, Ms JQ",Khumalo,Ms,female,JQ,Juliet_Queen_Khumalo.JPG,1
1350,"Cuthbert, Mr MJ",Cuthbert,Mr,male,MJ,Cuthbert_MJ.jpg,2
2091,"Mjadu, TS",Mjadu,,male,TS,mjadu.jpg,19
462,"Matiase, Mr NS",Matiase,Mr,male,NS,Matiase.jpg,11
2001,"Mahlatsi, Mr LW",Mahlatsi,Mr,male,LW,Mahlatsi.jpg,25
1998,"Shabangu, Ms FL",Shabangu,Ms,female,FL,Fisani_Lillian_Shabangu.JPG,1
1480,"Dlelanga, Mr M",Dlelanga,Mr,male,M,Dlelanga.jpg,1
1999,"Zibi, Mr SS",Zibi,Mr,male,SS,zibi.jpg,22
2093,"Mkhize, Mr SP",Mkhize,Mr,male,SP,1/Mkhize.jpg,19
2063,"Gcaleka-Mazibuko, Ms NA",Gcaleka-Mazibuko,Ms,female,NA,molwele.jpg,1
2059,"Ngobeni, Ms LM",Ngobeni,Ms,female,LM,ngbeni.jpg,21
2000,"Mokoena, Ms JL",Mokoena,Ms,female,JL,Mokoena_JL.jpg,1
1321,"Mahlaule, Mr MG",Mahlaule,Mr,male,MG,Mahlaule.jpg,1
909,"Khanyile, Ms AT",Khanyile,Ms,female,AT,1/Khanyile.jpg,2
2060,"Wakelin, Mr KS",Wakelin,Mr,male,KS,wakelin.jpg,2
2105,"Ngubane, Mr JS",Ngubane,Mr,male,JS,ngubane.jpg,19
2100,"Mtshweni, Ms NA",Mtshweni,Ms,female,NA,mtshweni.jpg,19
2095,"Moodley, Mr SR",Moodley,Mr,male,SR,moodley.jpg,19
2061,"Potgieter, Ms LR",Potgieter,Ms,female,LR,Leah_Ruth.JPG,2
2003,"Klopper, Mr DD",Klopper,Mr,male,DD,Klopper.jpg,2
2007,"Sompa-Masiu, Ms NS",Sompa-Masiu,Ms,female,NS,Sompa-Masiu.jpg,1
2064,"Jacobs, Mr LC",Jacobs,Mr,male,LC,Jacobs.jpg,2
2062,"Ramongalo, Mr TR",Ramongalo,Mr,male,TR,ramongalo.jpg,2
2065,"Mbiyo, Ms IM",Mbiyo,Ms,female,IM,Mbiyo.jpg,1
1959,"Mdluli, Mr MM",Mdluli,Mr,male,MM,Mdluli.jpg,2
2004,"Kegakilwe, Ms BM",Kegakilwe,Ms,female,BM,Kegakilwe.jpg,1
2104,"Ndhlela, Mr N",Ndhlela,Mr,male,N,ndlela.jpg,19
2107,"Nomvalo, Mr S",Nomvalo,Mr,male,S,nomvalo.jpg,19
2005,"Legoete, Mr MD",Legoete,Mr,male,MD,Legoete.jpg,1
2008,"Kgabo, Mr GD",Kgabo,Mr,male,GD,kgg.jpg,1
701,"Chance, Mr T",Chance,Mr,male,T,chance.jpg,2
