id,member,profile_pic,party_id
638,"Van Der Walt, Ms D",1/van_der_walt.jpg,2
728,"Mabe, Ms BP",mabe_resized.jpg,1
746,"Smit, Mr CF",1/423.jpg,2
1401,"Gantsho, Ms N",Gantsho.jpg,1
1880,"Letlape, Ms MS",Letlape_s.jpg,11
1397,"Nodada, Mr BB",nodada.jpg,2
966,"Nkopane, Ms NS",nkopane.jpg,1
2025,"Letsike, Ms MSE",1/Letsike.jpg,1
818,"Mngxitama, Mr A",1/mngxitama.jpg,19
512,"George, Dr DT",George_DT.jpg,2
1412,"Nyhontso, Mr M",nyhontso.jpg,10
1729,"Tambo, Mr S",tambo.jpg,11
1328,"Boshoff, Dr WJ",Boshoff.jpg,8
1127,"Aphiri, Ms MJ",aphiri.jpg,1
2022,"Sangoni, Ms KLN",sangoni.jpg,1
1753,"Ramolobeng, Ms A",ramolobeng.jpg,1
1738,"Burns-Ncamashe, Prince Z",1/Burns.jpg,1
762,"Essack, Mr F",Essack_F.jpg,2
1750,"Peach, Mr WD",W_Peach.JPG,2
1763,"Myburgh, Mr NG",Myburgh_ng.jpg,2
559,"Mente-Nkuna, Ms NV",Mente.jpg,11
1759,"Godongwana, Mr E",godongwana....jpg,1
1326,"Mahumapelo, Mr S",Mahumapelo.jpg,1
1080,"Engelbrecht, Mr J",1/Engelbrecht.jpg,2
1803,"Dlamini, Ms M",Mbali_Dlamini.jpg,11
1275,"Abrahams, Ms ALA",abrahams.jpg,2
1064,"Bodlani, Ms T",1/bodlani.jpg,2
1758,"Simelane, Ms T",simelane.jpg,1
1844,"Mthethwa, Mr E",E_Mthethwa_EFF.jpg,11
1726,"Nkosi, Ms NE",ethel.jpg,1
1843,"Shikwambana, Mr M",Shikwambana_M.jpg,11
1623,"Ramokgopa, Mr  KD",1/ramokgopa.jpg,1
1515,"Khakhau, Ms KL",Khakau.jpg,2
1839,"Moore, Mr S J",Moore.jpg,2
313,"Dunjwa, Ms ML",Dunjwa.jpg,1
287,"Dlakude, Ms DE",dlakude.jpg,1
1714,"Tafeni, Ms N",tafen_resized.jpg,11
1012,"Sibiya, Mr J",1/sibiya.jpg,1
1842,"Mhlongo, Ms N",N_Mhlongo.jpg,11
1642,"Hassan, Ms F",Hassan.jpg,1
1853,"Baptie, Mr E",bPATIE.jpg,2
